structure d50
trjconv_1hsi_827.pdb 4.70766396422
trjconv_1hsi_608.pdb 4.63885761799
trjconv_1hsi_915.pdb 5.11552538846
trjconv_1hsi_401.pdb 4.86260218402
trjconv_1hsi_811.pdb 6.2802706948
trjconv_1hsi_673.pdb 6.29225714668
trjconv_1hsi_960.pdb 4.71791267405
trjconv_1hsi_599.pdb 4.712260604
trjconv_1hsi_868.pdb 5.12285076886
trjconv_1hsi_258.pdb 4.59553043728
trjconv_1hsi_215.pdb 4.9619955663
trjconv_1hsi_9.pdb 4.46476203173
trjconv_1hsi_457.pdb 4.05246838359
trjconv_1hsi_80.pdb 4.7701362664
trjconv_1hsi_888.pdb 4.93345720565
trjconv_1hsi_508.pdb 4.96774596774
trjconv_1hsi_38.pdb 4.93405512738
trjconv_1hsi_407.pdb 4.93756012622
trjconv_1hsi_642.pdb 5.12258723693
trjconv_1hsi_836.pdb 5.16434894251
trjconv_1hsi_97.pdb 4.51579450374
trjconv_1hsi_966.pdb 4.35139058233
trjconv_1hsi_534.pdb 5.45191709401
trjconv_1hsi_889.pdb 4.99315531503
trjconv_1hsi_799.pdb 4.8171568378
trjconv_1hsi_433.pdb 5.38914650014
trjconv_1hsi_931.pdb 4.96005040297
trjconv_1hsi_365.pdb 5.16911017488
trjconv_1hsi_306.pdb 4.64436217365
trjconv_1hsi_225.pdb 8.68553970689
trjconv_1hsi_762.pdb 5.12419749815
trjconv_1hsi_880.pdb 4.44444597222
trjconv_1hsi_579.pdb 5.96958960063
trjconv_1hsi_905.pdb 4.92320017875
trjconv_1hsi_270.pdb 5.78670890922
trjconv_1hsi_35.pdb 4.33683064
trjconv_1hsi_697.pdb 4.65395530705
trjconv_1hsi_141.pdb 4.78778654495
trjconv_1hsi_116.pdb 4.64608437289
trjconv_1hsi_837.pdb 4.07240715057
trjconv_1hsi_999.pdb 4.50937911469
trjconv_1hsi_201.pdb 4.66412907197
trjconv_1hsi_846.pdb 4.55921045796
trjconv_1hsi_216.pdb 5.05820126132
trjconv_1hsi_906.pdb 4.79526850135
trjconv_1hsi_47.pdb 4.52698575213
trjconv_1hsi_1.pdb 4.02543165387
trjconv_1hsi_23.pdb 4.75330411398
trjconv_1hsi_620.pdb 6.21930060377
trjconv_1hsi_87.pdb 4.84170424541
trjconv_1hsi_524.pdb 5.21797853579
trjconv_1hsi_835.pdb 5.78019030829
trjconv_1hsi_62.pdb 4.72747289786
trjconv_1hsi_840.pdb 4.77318551913
trjconv_1hsi_367.pdb 4.74714651133
trjconv_1hsi_468.pdb 5.23211238411
trjconv_1hsi_752.pdb 4.74119183328
trjconv_1hsi_315.pdb 4.50134424367
trjconv_1hsi_217.pdb 5.46553748501
trjconv_1hsi_212.pdb 4.54872509611
trjconv_1hsi_237.pdb 5.50465257759
trjconv_1hsi_635.pdb 4.65543768082
trjconv_1hsi_790.pdb 5.2090402187
trjconv_1hsi_877.pdb 4.53574690652
trjconv_1hsi_747.pdb 4.67087786182
trjconv_1hsi_89.pdb 5.35284970833
trjconv_1hsi_360.pdb 4.52026547893
trjconv_1hsi_924.pdb 4.94138644512
trjconv_1hsi_111.pdb 4.6492472509
trjconv_1hsi_893.pdb 4.9551387468
trjconv_1hsi_255.pdb 4.70481668081
trjconv_1hsi_104.pdb 4.7731959943
trjconv_1hsi_561.pdb 5.08616751592
trjconv_1hsi_512.pdb 5.07264230949
trjconv_1hsi_177.pdb 7.65668335508
trjconv_1hsi_559.pdb 5.47617567286
trjconv_1hsi_79.pdb 5.57531165048
trjconv_1hsi_927.pdb 5.13577647489
trjconv_1hsi_611.pdb 5.28118357946
trjconv_1hsi_342.pdb 4.97784089742
trjconv_1hsi_883.pdb 6.46719413656
trjconv_1hsi_786.pdb 5.18220995329
trjconv_1hsi_666.pdb 4.58420112997
trjconv_1hsi_908.pdb 4.82016597225
trjconv_1hsi_393.pdb 5.06790883896
trjconv_1hsi_63.pdb 4.90812591526
trjconv_1hsi_88.pdb 5.1004607635
trjconv_1hsi_653.pdb 4.70120197396
trjconv_1hsi_280.pdb 5.37936799262
trjconv_1hsi_145.pdb 4.51404474945
trjconv_1hsi_188.pdb 5.20858906039
trjconv_1hsi_979.pdb 5.3105555265
trjconv_1hsi_437.pdb 5.35934697515
trjconv_1hsi_860.pdb 4.33952762406
trjconv_1hsi_856.pdb 5.09505642756
trjconv_1hsi_832.pdb 5.0841715156
trjconv_1hsi_182.pdb 5.23745167042
trjconv_1hsi_998.pdb 4.68313997228
trjconv_1hsi_936.pdb 4.56031797137
trjconv_1hsi_913.pdb 4.95177745865
trjconv_1hsi_477.pdb 5.01582495707
trjconv_1hsi_21.pdb 5.46008241696
trjconv_1hsi_748.pdb 5.16342909315
trjconv_1hsi_912.pdb 5.15675285427
trjconv_1hsi_71.pdb 4.94104240014
trjconv_1hsi_587.pdb 5.0178581088
trjconv_1hsi_597.pdb 5.99924161874
trjconv_1hsi_233.pdb 4.31932865154
trjconv_1hsi_478.pdb 4.80884601542
trjconv_1hsi_378.pdb 5.855211354
trjconv_1hsi_647.pdb 4.19206393081
trjconv_1hsi_106.pdb 4.92093487053
trjconv_1hsi_358.pdb 3.98539834897
trjconv_1hsi_535.pdb 4.96819886881
trjconv_1hsi_108.pdb 5.46041207236
trjconv_1hsi_617.pdb 4.68284101801
trjconv_1hsi_175.pdb 7.90405592085
trjconv_1hsi_253.pdb 4.96194518309
trjconv_1hsi_563.pdb 5.42797383929
trjconv_1hsi_964.pdb 4.55584240289
trjconv_1hsi_246.pdb 4.64823622463
trjconv_1hsi_633.pdb 4.31394251237
trjconv_1hsi_362.pdb 4.82972048881
trjconv_1hsi_551.pdb 5.73604393289
trjconv_1hsi_254.pdb 4.7840255016
trjconv_1hsi_583.pdb 5.29741446368
trjconv_1hsi_996.pdb 4.30262710446
trjconv_1hsi_879.pdb 5.66830662544
trjconv_1hsi_171.pdb 8.1933875778
trjconv_1hsi_193.pdb 4.66551176185
trjconv_1hsi_876.pdb 5.0482175072
trjconv_1hsi_678.pdb 4.68789931632
trjconv_1hsi_921.pdb 4.77537433088
trjconv_1hsi_302.pdb 4.71177249026
trjconv_1hsi_744.pdb 5.12003906235
trjconv_1hsi_506.pdb 4.9651686779
trjconv_1hsi_507.pdb 4.41403443575
trjconv_1hsi_610.pdb 4.98888765157
trjconv_1hsi_957.pdb 4.98650177981
trjconv_1hsi_994.pdb 4.83566955033
trjconv_1hsi_398.pdb 4.96173356802
trjconv_1hsi_271.pdb 5.38494196812
trjconv_1hsi_392.pdb 4.3661195586
trjconv_1hsi_764.pdb 5.32606796802
trjconv_1hsi_340.pdb 6.83232025011
trjconv_1hsi_387.pdb 5.14173122596
trjconv_1hsi_510.pdb 4.85799341292
trjconv_1hsi_389.pdb 4.66079392379
trjconv_1hsi_103.pdb 4.86861376574
trjconv_1hsi_529.pdb 5.39030611376
trjconv_1hsi_194.pdb 4.91127274747
trjconv_1hsi_242.pdb 5.08820204001
trjconv_1hsi_943.pdb 4.75161025338
trjconv_1hsi_975.pdb 4.8370445522
trjconv_1hsi_180.pdb 4.75383003482
trjconv_1hsi_100.pdb 5.00978043431
trjconv_1hsi_492.pdb 5.49531618745
trjconv_1hsi_656.pdb 5.35213975901
trjconv_1hsi_273.pdb 4.85140185926
trjconv_1hsi_824.pdb 4.41612952709
trjconv_1hsi_219.pdb 4.7715301529
trjconv_1hsi_348.pdb 4.98054213917
trjconv_1hsi_276.pdb 5.17360609247
trjconv_1hsi_580.pdb 5.07535220453
trjconv_1hsi_56.pdb 4.97857409305
trjconv_1hsi_25.pdb 5.06973372082
trjconv_1hsi_728.pdb 5.08060035823
trjconv_1hsi_250.pdb 4.76517575751
trjconv_1hsi_12.pdb 5.46606805666
trjconv_1hsi_651.pdb 5.19779761053
trjconv_1hsi_760.pdb 4.7586657794
trjconv_1hsi_724.pdb 5.08158439859
trjconv_1hsi_324.pdb 4.80452911324
trjconv_1hsi_552.pdb 4.90217298756
trjconv_1hsi_665.pdb 4.51629272745
trjconv_1hsi_95.pdb 5.052148058
trjconv_1hsi_977.pdb 4.43751056337
trjconv_1hsi_892.pdb 5.41891132978
